"Component","Use case","Source","Threat","Risk Response","Inherent Risk","Current Risk","Countermeasure progress","Weakness tests","Countermeasure tests","Projected Risk","Owner","MITRE reference","STRIDE-LM"
"LAN Network","Tampering","Created by Rules Engine","Attackers execute unauthorized physical tampering","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Critical","Critical","0%","Not tested","Not tested","Critical","Daniele Granata","ATT&CK Enterprise - T1200 - Hardware Additions||EMB3D - TID-107 - Unauthorized Direct Memory Access (DMA)","Tampering"
"LAN Network","Tampering","Created by Rules Engine","Attackers inject malicious devices","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","High","High","0%","Not tested","Not tested","High","Daniele Granata","ATT&CK Enterprise - T1200 - Hardware Additions||EMB3D - TID-211 - Device Allows Unauthenticated Firmware Installation","Tampering"
"LAN Network","Information Disclosure","Created by Rules Engine","Attackers intercept data communications","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","High","High","0%","Not tested","Not tested","High","Daniele Granata","EMB3D - TID-114 - Peripheral Data Bus Interception","Information Disclosure"
"LAN Network","Spoofing","Created by Rules Engine","Attackers perform MAC spoofing attacks","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Critical","Critical","0%","Not tested","Not tested","Critical","Daniele Granata","EMB3D - TID-406 - Unauthorized Messages or Connections","Spoofing"
"Chassis-mounted Microcontroller","Tampering","Created by Rules Engine","Attackers tamper with the STM32 firmware to introduce malicious code","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Critical","Critical","0%","Not tested","Not tested","Critical","Daniele Granata","EMB3D - TID-113 - Unverified Peripheral Firmware Loaded","Tampering"
"Joystick","Tampering","Created by Rules Engine","Buffer overflow in IOCTL handlers","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Critical","Critical","0%","Not tested","Not tested","Critical","Daniele Granata","ATT&CK Enterprise - T1203 - Exploitation for Client Execution","Tampering"
"Jetson Nano","Information Disclosure","Created by Rules Engine","Data breaches from insecure storage","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Critical","Critical","0%","Not tested","Not tested","Critical","Daniele Granata","ATT&CK Enterprise - T1584 - Compromise Infrastructure","Information Disclosure"
"PC with Web Service","Information Disclosure","Created by Rules Engine","Data theft","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","High","High","0%","Not tested","Not tested","High","Daniele Granata","EMB3D - TID-114 - Peripheral Data Bus Interception","Information Disclosure"
"Speed Sensor","Information Disclosure","Created by Rules Engine","Data transmission interception","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","High","High","0%","Not tested","Not tested","High","Daniele Granata","EMB3D - TID-114 - Peripheral Data Bus Interception","Information Disclosure"
"Chassis-mounted Microcontroller","Denial of Service","Created by Rules Engine","Denial of service through resource exhaustion on STM32 systems","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Critical","Critical","0%","Not tested","Not tested","Critical","Daniele Granata","EMB3D - TID-405 - Network Stack Resource Exhaustion","Denial of Service"
"Joystick","Denial of Service","Created by Rules Engine","Denial of service via IOCTL flooding","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Critical","Critical","0%","Not tested","Not tested","Critical","Daniele Granata","ATT&CK Enterprise - T1499 - Endpoint Denial of Service","Denial of Service"
"Speed Sensor","Denial of Service","Created by Rules Engine","Environmental interference and EMI","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Critical","Critical","0%","Not tested","Not tested","Critical","Daniele Granata","EMB3D - TID-105 - Hardware Fault Injection – Control Flow Modification","Denial of Service"
"Chassis-mounted Microcontroller","Elevation of Privilege","Created by Rules Engine","Exploitation of insecure bootloaders to gain unauthorized control of STM32 devices","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Critical","Critical","0%","Not tested","Not tested","Critical","Daniele Granata","EMB3D - TID-406 - Unauthorized Messages or Connections","Elevation of Privilege"
