"Component","Use case","Source","Threat","Risk Response","Inherent Risk","Current Risk","Countermeasure progress","Weakness tests","Countermeasure tests","Projected Risk","Owner","MITRE reference","STRIDE-LM"
"Web Service","Denial of Service","Created by Rules Engine","Attackers abuse the service, e.g., lack of rate limiting","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","High","High","0%","Not tested","Not tested","High","Daniele Granata","ATT&CK Enterprise - T1110 - Brute Force||ATT&CK Enterprise - T1498 - Network Denial of Service||ATT&CK Enterprise - T1499 - Endpoint Denial of Service||ATT&CK Enterprise - TA0040 - Impact","Denial of Service"
"Web Service","Information Disclosure","Created by Rules Engine","Attackers access information, including secrets, through misconfiguration, errors, or logging","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","High","High","0%","Not tested","Not tested","High","Daniele Granata","ATT&CK Enterprise - T1190 - Exploit Public-Facing Application||ATT&CK Enterprise - T1213 - Data from Information Repositories||ATT&CK Enterprise - T1552 - Unsecured Credentials||ATT&CK Enterprise - T1567 - Exfiltration Over Web Service||ATT&CK Enterprise - TA0001 - Initial Access||ATT&CK Enterprise - TA0009 - Collection","Elevation of Privilege||Information Disclosure"
"Web Service","Elevation of Privilege","Created by Rules Engine","Attackers bypass authentication and gain unauthorized access","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Critical","Critical","0%","Not tested","Not tested","Critical","Daniele Granata","ATT&CK Enterprise - T1556 - Modify Authentication Process||ATT&CK Enterprise - TA0001 - Initial Access||ATT&CK Enterprise - TA0005 - Defense Evasion||ATT&CK Enterprise - TA0006 - Credential Access||ATT&CK Enterprise - TA0008 - Lateral Movement","Elevation of Privilege||Lateral Movement"
"Web Service","Elevation of Privilege","Created by Rules Engine","Attackers craft and inject malicious content, e.g., SQLi","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","High","High","0%","Not tested","Not tested","High","Daniele Granata","ATT&CK Enterprise - T1055 - Process Injection||ATT&CK Enterprise - T1059 - Command and Scripting Interpreter||ATT&CK Enterprise - T1190 - Exploit Public-Facing Application||ATT&CK Enterprise - T1202 - Indirect Command Execution||ATT&CK Enterprise - T1220 - XSL Script Processing||ATT&CK Enterprise - T1221 - Template Injection||ATT&CK Enterprise - TA0004 - Privilege Escalation||ATT&CK Enterprise - TA0005 - Defense Evasion||ATT&CK Mobile - T1516 - Input Injection","Elevation of Privilege"
"LAN Network","Tampering","Created by Rules Engine","Attackers execute unauthorized physical tampering","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Critical","Critical","0%","Not tested","Not tested","Critical","Daniele Granata","ATT&CK Enterprise - T1200 - Hardware Additions||EMB3D - TID-107 - Unauthorized Direct Memory Access (DMA)","Tampering"
"JetRacer","Spoofing","Created by Rules Engine","Attackers hijack drone control signals","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Critical","Critical","0%","Not tested","Not tested","Critical","Daniele Granata","EMB3D - TID-105 - Hardware Fault Injection – Control Flow Modification","Spoofing"
"LAN Network","Tampering","Created by Rules Engine","Attackers inject malicious devices","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","High","High","0%","Not tested","Not tested","High","Daniele Granata","ATT&CK Enterprise - T1200 - Hardware Additions||EMB3D - TID-211 - Device Allows Unauthenticated Firmware Installation","Tampering"
"LAN Network","Information Disclosure","Created by Rules Engine","Attackers intercept data communications","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","High","High","0%","Not tested","Not tested","High","Daniele Granata","EMB3D - TID-114 - Peripheral Data Bus Interception","Information Disclosure"
"JetRacer","Information Disclosure","Created by Rules Engine","Attackers intercept video and data transmissions","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Critical","Critical","0%","Not tested","Not tested","Critical","Daniele Granata","EMB3D - TID-406 - Unauthorized Messages or Connections","Information Disclosure"
"Web Service","Tampering","Created by Rules Engine","Attackers leverage deserialization flaws to execute malicious code","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","High","High","0%","Not tested","Not tested","High","Daniele Granata","ATT&CK Enterprise - T1190 - Exploit Public-Facing Application||ATT&CK Enterprise - T1203 - Exploitation for Client Execution||ATT&CK Enterprise - T1210 - Exploitation of Remote Services||ATT&CK Enterprise - TA0001 - Initial Access||ATT&CK Enterprise - TA0002 - Execution","Elevation of Privilege||Tampering"
"LAN Network","Spoofing","Created by Rules Engine","Attackers perform MAC spoofing attacks","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Critical","Critical","0%","Not tested","Not tested","Critical","Daniele Granata","EMB3D - TID-406 - Unauthorized Messages or Connections","Spoofing"
