"Component","Use case","Source","Threat","Risk Response","Inherent Risk","Current Risk","Countermeasure progress","Weakness tests","Countermeasure tests","Projected Risk","Owner","MITRE reference","STRIDE-LM"
"Sonoff Micro Device","Spoofing","Created by Rules Engine","ARP spoofing or poisoning","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Critical","Critical","0%","Not tested","Not tested","Critical","Daniele Granata","ATT&CK Enterprise - T1557.002 - ARP Cache Poisoning","Spoofing"
"Command and Telemetry Service","Denial of Service","Created by Rules Engine","Attackers can execute Denial of Service attacks and collapse the heath service","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","High","High","0%","Not tested","Not tested","High","Daniele Granata","ATT&CK Enterprise - T1498 - Network Denial of Service||ATT&CK Enterprise - T1499 - Endpoint Denial of Service","Denial of Service"
"User Account Database","Elevation of Privilege","Created by Rules Engine","Attackers gain elevated privilege","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","High","High","0%","Not tested","Not tested","High","Daniele Granata","ATT&CK Enterprise - T1021.001 - Remote Desktop Protocol||ATT&CK Enterprise - T1021.002 - SMB/Windows Admin Shares||ATT&CK Enterprise - T1021.004 - SSH||ATT&CK Enterprise - T1021.006 - Windows Remote Management||ATT&CK Enterprise - T1048 - Exfiltration Over Alternative Protocol||ATT&CK Enterprise - T1078 - Valid Accounts||ATT&CK Enterprise - T1199 - Trusted Relationship||ATT&CK Enterprise - T1485 - Data Destruction||ATT&CK Enterprise - T1567 - Exfiltration Over Web Service||ATT&CK Enterprise - T1567.002 - Exfiltration to Cloud Storage","Elevation of Privilege||Information Disclosure||Tampering"
"Authentication and Authorization Service","Elevation of Privilege","Created by Rules Engine","Attackers gain unauthorized access or elevated privileges, e.g., via stolen credentials, cookies, or tokens","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","High","High","0%","Not tested","Not tested","High","Daniele Granata","ATT&CK Enterprise - T1068 - Exploitation for Privilege Escalation||ATT&CK Enterprise - T1110 - Brute Force||ATT&CK Enterprise - T1190 - Exploit Public-Facing Application||ATT&CK Enterprise - T1583 - Acquire Infrastructure||ATT&CK Enterprise - T1584 - Compromise Infrastructure||ATT&CK Enterprise - TA0043 - Reconnaissance","Elevation of Privilege||Information Disclosure||Spoofing"
"Command and Telemetry Service","Tampering","Created by Rules Engine","Attackers gain unauthorized access to data and/or systems through injection attacks","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Critical","Critical","0%","Not tested","Not tested","Critical","Daniele Granata","ATT&CK Enterprise - T1021 - Remote Services||ATT&CK Enterprise - T1059 - Command and Scripting Interpreter||ATT&CK Enterprise - T1203 - Exploitation for Client Execution||ATT&CK Enterprise - T1210 - Exploitation of Remote Services","Tampering"
"Authentication and Authorization Service","Tampering","Created by Rules Engine","Attackers inject malicious content, e.g., SQL queries, to manipulate or access data","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","High","High","0%","Not tested","Not tested","High","Daniele Granata","ATT&CK Enterprise - T1059 - Command and Scripting Interpreter||ATT&CK Enterprise - T1068 - Exploitation for Privilege Escalation||ATT&CK Enterprise - T1190 - Exploit Public-Facing Application||ATT&CK Enterprise - T1211 - Exploitation for Defense Evasion","Information Disclosure||Tampering"
"Authentication and Authorization Service","Information Disclosure","Created by Rules Engine","Attackers intercept or eavesdrop on sensitive information during transmission","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","High","High","0%","Not tested","Not tested","High","Daniele Granata","ATT&CK Enterprise - T1040 - Network Sniffing||ATT&CK Enterprise - T1557 - Adversary-in-the-Middle","Information Disclosure||Tampering"
"Command and Telemetry Service","Tampering","Created by Rules Engine","Attackers manipulate the service status","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","High","High","0%","Not tested","Not tested","High","Daniele Granata","ATT&CK Enterprise - T1499 - Endpoint Denial of Service","Spoofing||Tampering"
"User Account Database","Information Disclosure","Created by Rules Engine","Attackers obtain unauthorized access","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","High","High","0%","Not tested","Not tested","High","Daniele Granata","ATT&CK Enterprise - T1078 - Valid Accounts||ATT&CK Enterprise - T1110 - Brute Force||ATT&CK Enterprise - T1110.001 - Password Guessing||ATT&CK Enterprise - T1110.003 - Password Spraying||ATT&CK Enterprise - T1110.004 - Credential Stuffing||ATT&CK Enterprise - T1539 - Steal Web Session Cookie||ATT&CK Enterprise - T1550.001 - Application Access Token||ATT&CK Enterprise - T1550.002 - Pass the Hash||ATT&CK Enterprise - T1550.003 - Pass the Ticket","Information Disclosure||Spoofing||Tampering"
"User Account Database","Information Disclosure","Created by Rules Engine","Attackers take advantage of poor protected data and insecure communications","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","High","High","0%","Not tested","Not tested","High","Daniele Granata","ATT&CK Enterprise - T1029 - Scheduled Transfer||ATT&CK Enterprise - T1070 - Indicator Removal||ATT&CK Enterprise - T1486 - Data Encrypted for Impact||ATT&CK Enterprise - T1546 - Event Triggered Execution||ATT&CK Enterprise - T1556 - Modify Authentication Process||ATT&CK Enterprise - T1560 - Archive Collected Data||ATT&CK Enterprise - T1564 - Hide Artifacts||ATT&CK Mobile - T1532 - Archive Collected Data","Information Disclosure||Tampering"
