"Component","Use case","Source","Threat","Risk Response","Inherent Risk","Current Risk","Countermeasure progress","Weakness tests","Countermeasure tests","Projected Risk","Owner","MITRE reference","STRIDE-LM"
"Home Wi-Fi Router","Information Disclosure","Created by Rules Engine","Attackers attempt to guess weak Wi-Fi passwords via brute-force","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","High","High","0%","Not tested","Not tested","High","Daniele Granata","EMB3D - TID-314 - Passwords Can Be Guessed Using Brute-Force Attempts","Information Disclosure"
"Home Wi-Fi Router","Denial of Service","Created by Rules Engine","Attackers emit interference to disrupt the Wi-Fi communication and deny service","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","High","High","0%","Not tested","Not tested","High","Daniele Granata","EMB3D - TID-405 - Network Stack Resource Exhaustion","Denial of Service"
"Home Wi-Fi Router","Tampering","Created by Rules Engine","Attackers intercept and potentially alter communications between the device and the access point","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","High","High","0%","Not tested","Not tested","High","Daniele Granata","EMB3D - TID-114 - Peripheral Data Bus Interception","Tampering"
"Home Wi-Fi Router","Information Disclosure","Created by Rules Engine","Attackers intercept unencrypted wireless traffic to capture sensitive data","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Critical","Critical","0%","Not tested","Not tested","Critical","Daniele Granata","EMB3D - TID-408 - Unencrypted Sensitive Data Communication","Information Disclosure"
"Home Wi-Fi Router","Denial of Service","Created by Rules Engine","Attackers send deauthentication frames to disconnect users, causing service disruption","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","High","High","0%","Not tested","Not tested","High","Daniele Granata","EMB3D - TID-222 - Critical System Service May Be Disabled","Denial of Service"
"Home Wi-Fi Router","Spoofing","Created by Rules Engine","Attackers set up a rogue AP that mimics a trusted network to capture or manipulate traffic","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","High","High","0%","Not tested","Not tested","High","Daniele Granata","EMB3D - TID-202 - Exploitable System Network Stack Component","Spoofing"
"Sonoff Micro Device","Information Disclosure","Created by Rules Engine","Data theft via USB","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Medium","Medium","0%","Not tested","Not tested","Medium","Daniele Granata","EMB3D - TID-408 - Unencrypted Sensitive Data Communication","Information Disclosure"
"User","Information Disclosure","Created by Rules Engine","Data theft via USB","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Medium","Medium","0%","Not tested","Not tested","Medium","Daniele Granata","EMB3D - TID-408 - Unencrypted Sensitive Data Communication","Information Disclosure"
"Sonoff Micro Device","Tampering","Created by Rules Engine","Firmware tampering","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Medium","Medium","0%","Not tested","Not tested","Medium","Daniele Granata","EMB3D - TID-211 - Device Allows Unauthenticated Firmware Installation","Tampering"
"User","Tampering","Created by Rules Engine","Firmware tampering","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Medium","Medium","0%","Not tested","Not tested","Medium","Daniele Granata","EMB3D - TID-211 - Device Allows Unauthenticated Firmware Installation","Tampering"
"Sonoff Micro SoftAP Network","Information Disclosure","Created by Rules Engine","Inadequate data encryption (Open/legacy protocols)","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Critical","Critical","0%","Not tested","Not tested","Critical","Daniele Granata","ATT&CK Enterprise - T1040 - Network Sniffing","Information Disclosure"
"Sonoff Micro Device","Tampering","Created by Rules Engine","Malware infection via USB","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","High","High","0%","Not tested","Not tested","High","Daniele Granata","EMB3D - TID-115 - Firmware/Data Extraction via Hardware Interface","Tampering"
"User","Tampering","Created by Rules Engine","Malware infection via USB","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","High","High","0%","Not tested","Not tested","High","Daniele Granata","EMB3D - TID-115 - Firmware/Data Extraction via Hardware Interface","Tampering"
"Sonoff Micro SoftAP Network","Spoofing","Created by Rules Engine","Physical layer hardware attacks","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Critical","Critical","0%","Not tested","Not tested","Critical","Daniele Granata","ATT&CK Enterprise - T1195.003 - Compromise Hardware Supply Chain","Spoofing"
"Sonoff Micro SoftAP Network","Spoofing","Created by Rules Engine","Rogue access point (Evil Twin)","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Critical","Critical","0%","Not tested","Not tested","Critical","Daniele Granata","ATT&CK Enterprise - T1557 - Adversary-in-the-Middle","Spoofing"
"Sonoff Micro Device","Tampering","Created by Rules Engine","Unauthorized device access","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","High","High","0%","Not tested","Not tested","High","Daniele Granata","EMB3D - TID-406 - Unauthorized Messages or Connections","Tampering"
"User","Tampering","Created by Rules Engine","Unauthorized device access","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","High","High","0%","Not tested","Not tested","High","Daniele Granata","EMB3D - TID-406 - Unauthorized Messages or Connections","Tampering"
"Sonoff Micro Device","Denial of Service","Created by Rules Engine","USB power abuse","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","High","High","0%","Not tested","Not tested","High","Daniele Granata","EMB3D - TID-119 - Latent Hardware Debug Port Allows Memory/Code Manipulation","Denial of Service"
"User","Denial of Service","Created by Rules Engine","USB power abuse","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","High","High","0%","Not tested","Not tested","High","Daniele Granata","EMB3D - TID-119 - Latent Hardware Debug Port Allows Memory/Code Manipulation","Denial of Service"
"Sonoff Micro SoftAP Network","Denial of Service","Created by Rules Engine","Wireless denial of service (DoS) floods","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","High","High","0%","Not tested","Not tested","High","Daniele Granata","ATT&CK Enterprise - T1498 - Network Denial of Service","Denial of Service"
