"Component","Use case","Source","Threat","Risk Response","Inherent Risk","Current Risk","Countermeasure progress","Weakness tests","Countermeasure tests","Projected Risk","Owner","MITRE reference","STRIDE-LM"
"IoT Command & Telemetry Broker","Denial of Service","Created by Rules Engine","An attacker can publish data to the MQTT broker to publish spam data","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Critical","Critical","0%","Not tested","Not tested","Critical","Daniele Granata","ATT&CK Enterprise - T1499 - Endpoint Denial of Service","Denial of Service"
"IoT Command & Telemetry Broker","Information Disclosure","Created by Rules Engine","An attacker can start to subscribe to all topics on an unprotected MQTT broker to gather sensitive data","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Critical","Critical","0%","Not tested","Not tested","Critical","Daniele Granata","ATT&CK Enterprise - T1020 - Automated Exfiltration","Information Disclosure"
"IoT Command & Telemetry Broker","Information Disclosure","Created by Rules Engine","An attacker monitors information transmitted between logical or physical nodes of a network","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Critical","Critical","0%","Not tested","Not tested","Critical","Daniele Granata","ATT&CK Enterprise - T1040 - Network Sniffing","Information Disclosure"
"QR Code (Device Identifier)","Tampering","Created by Rules Engine","Attackers can alter or tamper with URLs to deceive users or exploit vulnerabilities in web applications","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","High","High","0%","Not tested","Not tested","High","Daniele Granata","ATT&CK Enterprise - T1056 - Input Capture||ATT&CK Enterprise - T1222 - File and Directory Permissions Modification||ATT&CK Enterprise - T1202 - Indirect Command Execution||ATT&CK Enterprise - T1557 - Adversary-in-the-Middle||ATT&CK Mobile - T1516 - Input Injection","Tampering"
"QR Code (Device Identifier)","Tampering","Created by Rules Engine","Attackers can create QR codes to deceive users by displaying false or misleading information","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Critical","Critical","0%","Not tested","Not tested","Critical","Daniele Granata","ATT&CK Enterprise - TA0009 - Collection||ATT&CK Enterprise - TA0006 - Credential Access||ATT&CK Enterprise - TA0001 - Initial Access||ATT&CK Enterprise - T1020 - Automated Exfiltration||ATT&CK Enterprise - TA0002 - Execution||ATT&CK Enterprise - TA0005 - Defense Evasion","Tampering"
"QR Code (Device Identifier)","Tampering","Created by Rules Engine","Attackers can exploit vulnerabilities in QR code scanning software or deceive users into taking unintended actions","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Critical","Critical","0%","Not tested","Not tested","Critical","Daniele Granata","ATT&CK Enterprise - TA0001 - Initial Access||ATT&CK Enterprise - T1020 - Automated Exfiltration||ATT&CK Enterprise - TA0002 - Execution","Tampering"
"User Account & Auth Service","Elevation of Privilege","Created by Rules Engine","Attackers gain elevated privilege","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","High","High","0%","Not tested","Not tested","High","Daniele Granata","ATT&CK Enterprise - T1021.001 - Remote Desktop Protocol||ATT&CK Enterprise - T1021.002 - SMB/Windows Admin Shares||ATT&CK Enterprise - T1021.004 - SSH||ATT&CK Enterprise - T1021.006 - Windows Remote Management||ATT&CK Enterprise - T1048 - Exfiltration Over Alternative Protocol||ATT&CK Enterprise - T1078 - Valid Accounts||ATT&CK Enterprise - T1199 - Trusted Relationship||ATT&CK Enterprise - T1485 - Data Destruction||ATT&CK Enterprise - T1567 - Exfiltration Over Web Service||ATT&CK Enterprise - T1567.002 - Exfiltration to Cloud Storage","Elevation of Privilege||Information Disclosure||Tampering"
"IoT Command & Telemetry Broker","Elevation of Privilege","Created by Rules Engine","Attackers gain unauthorized connection to the resources","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Critical","Critical","0%","Not tested","Not tested","Critical","Daniele Granata","ATT&CK Enterprise - T1078 - Valid Accounts","Elevation of Privilege"
"Switch/Relay Controller","Tampering","Created by Rules Engine","Attackers may inject spurious signals or manipulate the electrical input of the switch button","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","High","High","0%","Not tested","Not tested","High","Daniele Granata","EMB3D - TID-106 - Data Bus Interception","Tampering"
"User Account & Auth Service","Information Disclosure","Created by Rules Engine","Attackers obtain unauthorized access","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","High","High","0%","Not tested","Not tested","High","Daniele Granata","ATT&CK Enterprise - T1078 - Valid Accounts||ATT&CK Enterprise - T1110 - Brute Force||ATT&CK Enterprise - T1110.001 - Password Guessing||ATT&CK Enterprise - T1110.003 - Password Spraying||ATT&CK Enterprise - T1110.004 - Credential Stuffing||ATT&CK Enterprise - T1539 - Steal Web Session Cookie||ATT&CK Enterprise - T1550.001 - Application Access Token||ATT&CK Enterprise - T1550.002 - Pass the Hash||ATT&CK Enterprise - T1550.003 - Pass the Ticket","Information Disclosure||Spoofing||Tampering"
