"Component","Use case","Source","Threat","Risk Response","Inherent Risk","Current Risk","Countermeasure progress","Weakness tests","Countermeasure tests","Projected Risk","Owner","MITRE reference","STRIDE-LM"
"Device Control and Telemetry API","Information Disclosure","Created by Rules Engine","Attackers abuse of missing or insecure security headers","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","High","High","0%","Not tested","Not tested","High","Daniele Granata","ATT&CK Enterprise - T1189 - Drive-by Compromise||ATT&CK Enterprise - T1190 - Exploit Public-Facing Application||ATT&CK Enterprise - T1557 - Adversary-in-the-Middle||ATT&CK Enterprise - T1567 - Exfiltration Over Web Service||ATT&CK Enterprise - T1584 - Compromise Infrastructure","Information Disclosure||Tampering"
"Device Control and Telemetry API","Denial of Service","Created by Rules Engine","Attackers carry out denial of service by API abuse/flooding","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","High","High","0%","Not tested","Not tested","High","Daniele Granata","ATT&CK Enterprise - T1498 - Network Denial of Service","Denial of Service"
"Device Control and Telemetry API","Information Disclosure","Created by Rules Engine","Attackers exploit misconfiguration","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Critical","Critical","0%","Not tested","Not tested","Critical","Daniele Granata","ATT&CK Enterprise - T1078 - Valid Accounts||ATT&CK Enterprise - T1133 - External Remote Services||ATT&CK Enterprise - T1496 - Resource Hijacking||ATT&CK Enterprise - T1505 - Server Software Component||ATT&CK Enterprise - T1578.002 - Create Cloud Instance","Information Disclosure||Tampering"
"Device Control and Telemetry API","Elevation of Privilege","Created by Rules Engine","Attackers gain elevated privilege from broken function level authorization","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","High","High","0%","Not tested","Not tested","High","Daniele Granata","ATT&CK Enterprise - T1078 - Valid Accounts||ATT&CK Enterprise - T1134 - Access Token Manipulation||ATT&CK Enterprise - T1548.002 - Bypass User Account Control","Elevation of Privilege"
"Sonoff Micro USB Smart Switch","Tampering","Created by Rules Engine","Attackers may inject spurious signals or manipulate the electrical input of the switch button","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","High","High","0%","Not tested","Not tested","High","Daniele Granata","EMB3D - TID-106 - Data Bus Interception","Tampering"
"Device Control and Telemetry API","Tampering","Created by Rules Engine","Attackers perform injection attacks and scripting","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","High","High","0%","Not tested","Not tested","High","Daniele Granata","ATT&CK Enterprise - T1056 - Input Capture||ATT&CK Enterprise - T1059.007 - JavaScript||ATT&CK Enterprise - T1068 - Exploitation for Privilege Escalation||ATT&CK Enterprise - T1078 - Valid Accounts||ATT&CK Enterprise - T1098.001 - Additional Cloud Credentials||ATT&CK Enterprise - T1098.002 - Additional Email Delegate Permissions||ATT&CK Enterprise - T1098.004 - SSH Authorized Keys||ATT&CK Enterprise - T1110.001 - Password Guessing||ATT&CK Enterprise - T1110.002 - Password Cracking||ATT&CK Enterprise - T1110.003 - Password Spraying||ATT&CK Enterprise - T1133 - External Remote Services||ATT&CK Enterprise - T1199 - Trusted Relationship||ATT&CK Enterprise - T1203 - Exploitation for Client Execution","Information Disclosure||Tampering"
"Device Control and Telemetry API","Information Disclosure","Created by Rules Engine","Attackers take advantage of sensitive data exposure","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","High","High","0%","Not tested","Not tested","High","Daniele Granata","ATT&CK Enterprise - T1213 - Data from Information Repositories||ATT&CK Enterprise - T1552 - Unsecured Credentials||ATT&CK Enterprise - T1567 - Exfiltration Over Web Service","Information Disclosure"
"Device Key Management Service","Information Disclosure","Created by Rules Engine","Data interception during transmission","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","High","High","0%","Not tested","Not tested","High","Daniele Granata","ATT&CK Enterprise - T1040 - Network Sniffing","Information Disclosure"
"Sonoff Micro USB Smart Switch","Denial of Service","Created by Rules Engine","Environmental interference and EMI attacks","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Medium","Medium","0%","Not tested","Not tested","Medium","Daniele Granata","EMB3D - TID-405 - Network Stack Resource Exhaustion","Denial of Service"
"Sonoff SoftAP Provisioning Network","Information Disclosure","Created by Rules Engine","Inadequate data encryption (Open/legacy protocols)","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Critical","Critical","0%","Not tested","Not tested","Critical","Daniele Granata","ATT&CK Enterprise - T1040 - Network Sniffing","Information Disclosure"
"Home Wi-Fi Access Point","Information Disclosure","Created by Rules Engine","Inadequate data encryption (Open/legacy protocols)","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Critical","Critical","0%","Not tested","Not tested","Critical","Daniele Granata","ATT&CK Enterprise - T1040 - Network Sniffing","Information Disclosure"
"Device Key Management Service","Repudiation","Created by Rules Engine","Insufficient monitoring and logging","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Medium","Medium","0%","Not tested","Not tested","Medium","Daniele Granata","ATT&CK Enterprise - T1562 - Impair Defenses","Repudiation"
"Device Key Management Service","Tampering","Created by Rules Engine","Insufficient monitoring and logging","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Critical","Critical","0%","Not tested","Not tested","Critical","Daniele Granata","ATT&CK Enterprise - T1190 - Exploit Public-Facing Application","Tampering"
"Device Control and Telemetry API","Repudiation","Created by Rules Engine","Lack of evidences of actions due to insufficient auditing and logging","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Medium","Medium","0%","Not tested","Not tested","Medium","Daniele Granata","ATT&CK Enterprise - T1070.001 - Clear Windows Event Logs||ATT&CK Enterprise - T1070.004 - File Deletion||ATT&CK Enterprise - T1112 - Modify Registry||ATT&CK Enterprise - T1485 - Data Destruction||ATT&CK Enterprise - T1562.001 - Disable or Modify Tools||ATT&CK Enterprise - T1592 - Gather Victim Host Information","Repudiation"
"Device Key Management Service","Information Disclosure","Created by Rules Engine","Misconfigured network components","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Critical","Critical","0%","Not tested","Not tested","Critical","Daniele Granata","ATT&CK Enterprise - T1046 - Network Service Discovery","Information Disclosure"
"Sonoff SoftAP Provisioning Network","Spoofing","Created by Rules Engine","Physical layer hardware attacks","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Critical","Critical","0%","Not tested","Not tested","Critical","Daniele Granata","ATT&CK Enterprise - T1195.003 - Compromise Hardware Supply Chain","Spoofing"
"Home Wi-Fi Access Point","Spoofing","Created by Rules Engine","Physical layer hardware attacks","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Critical","Critical","0%","Not tested","Not tested","Critical","Daniele Granata","ATT&CK Enterprise - T1195.003 - Compromise Hardware Supply Chain","Spoofing"
"Sonoff SoftAP Provisioning Network","Spoofing","Created by Rules Engine","Rogue access point (Evil Twin)","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Critical","Critical","0%","Not tested","Not tested","Critical","Daniele Granata","ATT&CK Enterprise - T1557 - Adversary-in-the-Middle","Spoofing"
"Home Wi-Fi Access Point","Spoofing","Created by Rules Engine","Rogue access point (Evil Twin)","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Critical","Critical","0%","Not tested","Not tested","Critical","Daniele Granata","ATT&CK Enterprise - T1557 - Adversary-in-the-Middle","Spoofing"
"Device Key Management Service","Information Disclosure","Created by Rules Engine","Unauthorized access to VPC resources","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Critical","Critical","0%","Not tested","Not tested","Critical","Daniele Granata","ATT&CK Enterprise - T1567.002 - Exfiltration to Cloud Storage","Information Disclosure"
"Sonoff Micro USB Smart Switch","Tampering","Created by Rules Engine","Unauthorized physical tampering","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","High","High","0%","Not tested","Not tested","High","Daniele Granata","EMB3D - TID-114 - Peripheral Data Bus Interception","Tampering"
"Sonoff SoftAP Provisioning Network","Denial of Service","Created by Rules Engine","Wireless denial of service (DoS) floods","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","High","High","0%","Not tested","Not tested","High","Daniele Granata","ATT&CK Enterprise - T1498 - Network Denial of Service","Denial of Service"
"Home Wi-Fi Access Point","Denial of Service","Created by Rules Engine","Wireless denial of service (DoS) floods","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","High","High","0%","Not tested","Not tested","High","Daniele Granata","ATT&CK Enterprise - T1498 - Network Denial of Service","Denial of Service"
