"Component","Use case","Source","Threat","Risk Response","Inherent Risk","Current Risk","Countermeasure progress","Weakness tests","Countermeasure tests","Projected Risk","Owner","MITRE reference","STRIDE-LM"
"QR Code / Device Identifier","Tampering","Created by Rules Engine","Attackers can alter or tamper with URLs to deceive users or exploit vulnerabilities in web applications","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","High","High","0%","Not tested","Not tested","High","Daniele Granata","ATT&CK Enterprise - T1056 - Input Capture||ATT&CK Enterprise - T1222 - File and Directory Permissions Modification||ATT&CK Enterprise - T1202 - Indirect Command Execution||ATT&CK Enterprise - T1557 - Adversary-in-the-Middle||ATT&CK Mobile - T1516 - Input Injection","Tampering"
"QR Code / Device Identifier","Tampering","Created by Rules Engine","Attackers can create QR codes to deceive users by displaying false or misleading information","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Critical","Critical","0%","Not tested","Not tested","Critical","Daniele Granata","ATT&CK Enterprise - TA0009 - Collection||ATT&CK Enterprise - TA0006 - Credential Access||ATT&CK Enterprise - TA0001 - Initial Access||ATT&CK Enterprise - T1020 - Automated Exfiltration||ATT&CK Enterprise - TA0002 - Execution||ATT&CK Enterprise - TA0005 - Defense Evasion","Tampering"
"QR Code / Device Identifier","Tampering","Created by Rules Engine","Attackers can exploit vulnerabilities in QR code scanning software or deceive users into taking unintended actions","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Critical","Critical","0%","Not tested","Not tested","Critical","Daniele Granata","ATT&CK Enterprise - TA0001 - Initial Access||ATT&CK Enterprise - T1020 - Automated Exfiltration||ATT&CK Enterprise - TA0002 - Execution","Tampering"
"Sonoff Micro Device","Tampering","Created by Rules Engine","Attackers may inject spurious signals or manipulate the electrical input of the switch button","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","High","High","0%","Not tested","Not tested","High","Daniele Granata","EMB3D - TID-106 - Data Bus Interception","Tampering"
"User Smartphone","Information Disclosure","Created by Rules Engine","Data transmitted over insecure channels may be intercepted, leading to potential breaches","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","High","High","0%","Not tested","Not tested","High","Daniele Granata","ATT&CK Enterprise - T1040 - Network Sniffing","Information Disclosure"
"User Smartphone","Denial of Service","Created by Rules Engine","Denial of Service attacks can overwhelm the system, resulting in service disruptions and potential exploitation","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","High","High","0%","Not tested","Not tested","High","Daniele Granata","ATT&CK Enterprise - T1498 - Network Denial of Service","Denial of Service"
"Sonoff Micro Device","Denial of Service","Created by Rules Engine","Environmental interference and EMI attacks","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Medium","Medium","0%","Not tested","Not tested","Medium","Daniele Granata","EMB3D - TID-405 - Network Stack Resource Exhaustion","Denial of Service"
"User Smartphone","Tampering","Created by Rules Engine","Failure to implement secure update mechanisms can leave IoT devices vulnerable","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Medium","Medium","0%","Not tested","Not tested","Medium","Daniele Granata","ATT&CK Enterprise - T1595.002 - Vulnerability Scanning","Tampering"
"SoftAP Pairing Access Point","Information Disclosure","Created by Rules Engine","Inadequate data encryption (Open/legacy protocols)","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Critical","Critical","0%","Not tested","Not tested","Critical","Daniele Granata","ATT&CK Enterprise - T1040 - Network Sniffing","Information Disclosure"
"User Smartphone","Information Disclosure","Created by Rules Engine","Inadequate protection of user data can lead to privacy breaches and erosion of user trust","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Critical","Critical","0%","Not tested","Not tested","Critical","Daniele Granata","ATT&CK Enterprise - T1588 - Obtain Capabilities","Information Disclosure"
"User Smartphone","Information Disclosure","Created by Rules Engine","Inadequate protection of user data can lead to privacy breaches and unauthorized data exposure","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","High","High","0%","Not tested","Not tested","High","Daniele Granata","ATT&CK Enterprise - T1530 - Data from Cloud Storage","Information Disclosure"
"User Smartphone","Tampering","Created by Rules Engine","Insecure APIs can be exploited to inject malicious commands or exfiltrate data","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Critical","Critical","0%","Not tested","Not tested","Critical","Daniele Granata","ATT&CK Enterprise - T1190 - Exploit Public-Facing Application","Tampering"
"User Smartphone","Elevation of Privilege","Created by Rules Engine","Lack of proper authorization controls may result in unauthorized privilege escalation and misuse of resources","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Medium","Medium","0%","Not tested","Not tested","Medium","Daniele Granata","ATT&CK Enterprise - T1068 - Exploitation for Privilege Escalation","Elevation of Privilege"
"User Smartphone","Tampering","Created by Rules Engine","Malware infections or compromised devices may lead to unauthorized manipulation","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Medium","Medium","0%","Not tested","Not tested","Medium","Daniele Granata","ATT&CK Enterprise - T1574 - Hijack Execution Flow","Tampering"
"SoftAP Pairing Access Point","Spoofing","Created by Rules Engine","Physical layer hardware attacks","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Critical","Critical","0%","Not tested","Not tested","Critical","Daniele Granata","ATT&CK Enterprise - T1195.003 - Compromise Hardware Supply Chain","Spoofing"
"User Smartphone","Tampering","Created by Rules Engine","Reverse engineering and code tampering can expose application logic and facilitate malicious modifications","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","High","High","0%","Not tested","Not tested","High","Daniele Granata","ATT&CK Enterprise - T1601 - Modify System Image","Tampering"
"SoftAP Pairing Access Point","Spoofing","Created by Rules Engine","Rogue access point (Evil Twin)","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Critical","Critical","0%","Not tested","Not tested","Critical","Daniele Granata","ATT&CK Enterprise - T1557 - Adversary-in-the-Middle","Spoofing"
"User Smartphone","Information Disclosure","Created by Rules Engine","Storing sensitive data in insecure local storage may expose it to extraction and misuse if the device is compromised","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","High","High","0%","Not tested","Not tested","High","Daniele Granata","ATT&CK Enterprise - T1005 - Data from Local System","Information Disclosure"
"QR Code / Device Identifier","Information Disclosure","Created by Rules Engine","Unauthorized or unintentional disclosure of sensitive or confidential information","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Critical","Critical","0%","Not tested","Not tested","Critical","Daniele Granata","ATT&CK Enterprise - T1190 - Exploit Public-Facing Application||ATT&CK Enterprise - T1078 - Valid Accounts||ATT&CK Enterprise - T1087 - Account Discovery","Spoofing||Tampering||Information Disclosure"
"Sonoff Micro Device","Tampering","Created by Rules Engine","Unauthorized physical tampering","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","High","High","0%","Not tested","Not tested","High","Daniele Granata","EMB3D - TID-114 - Peripheral Data Bus Interception","Tampering"
"User Smartphone","Spoofing","Created by Rules Engine","Weak or inadequate authentication can allow unauthorized access to the IoT mobile application","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","High","High","0%","Not tested","Not tested","High","Daniele Granata","ATT&CK Enterprise - T1078 - Valid Accounts","Spoofing"
"SoftAP Pairing Access Point","Denial of Service","Created by Rules Engine","Wireless denial of service (DoS) floods","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","High","High","0%","Not tested","Not tested","High","Daniele Granata","ATT&CK Enterprise - T1498 - Network Denial of Service","Denial of Service"
