"Component","Use case","Source","Threat","Risk Response","Inherent Risk","Current Risk","Countermeasure progress","Weakness tests","Countermeasure tests","Projected Risk","Owner","MITRE reference","STRIDE-LM"
"QR Code (Device Provisioning Identifier)","Tampering","Created by Rules Engine","Attackers can alter or tamper with URLs to deceive users or exploit vulnerabilities in web applications","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","High","High","0%","Not tested","Not tested","High","Daniele Granata","ATT&CK Enterprise - T1056 - Input Capture||ATT&CK Enterprise - T1222 - File and Directory Permissions Modification||ATT&CK Enterprise - T1202 - Indirect Command Execution||ATT&CK Enterprise - T1557 - Adversary-in-the-Middle||ATT&CK Mobile - T1516 - Input Injection","Tampering"
"QR Code (Device Provisioning Identifier)","Tampering","Created by Rules Engine","Attackers can create QR codes to deceive users by displaying false or misleading information","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Critical","Critical","0%","Not tested","Not tested","Critical","Daniele Granata","ATT&CK Enterprise - TA0009 - Collection||ATT&CK Enterprise - TA0006 - Credential Access||ATT&CK Enterprise - TA0001 - Initial Access||ATT&CK Enterprise - T1020 - Automated Exfiltration||ATT&CK Enterprise - TA0002 - Execution||ATT&CK Enterprise - TA0005 - Defense Evasion","Tampering"
"QR Code (Device Provisioning Identifier)","Tampering","Created by Rules Engine","Attackers can exploit vulnerabilities in QR code scanning software or deceive users into taking unintended actions","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Critical","Critical","0%","Not tested","Not tested","Critical","Daniele Granata","ATT&CK Enterprise - TA0001 - Initial Access||ATT&CK Enterprise - T1020 - Automated Exfiltration||ATT&CK Enterprise - TA0002 - Execution","Tampering"
"User","Elevation of Privilege","Created by Rules Engine","Attackers gain unauthorized access or elevated privileges, e.g., via stolen credentials, cookies, or tokens","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","High","High","0%","Not tested","Not tested","High","Daniele Granata","ATT&CK Enterprise - T1068 - Exploitation for Privilege Escalation||ATT&CK Enterprise - T1110 - Brute Force||ATT&CK Enterprise - T1190 - Exploit Public-Facing Application||ATT&CK Enterprise - T1583 - Acquire Infrastructure||ATT&CK Enterprise - T1584 - Compromise Infrastructure||ATT&CK Enterprise - TA0043 - Reconnaissance","Elevation of Privilege||Information Disclosure||Spoofing"
"User","Tampering","Created by Rules Engine","Attackers inject malicious content, e.g., SQL queries, to manipulate or access data","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","High","High","0%","Not tested","Not tested","High","Daniele Granata","ATT&CK Enterprise - T1059 - Command and Scripting Interpreter||ATT&CK Enterprise - T1068 - Exploitation for Privilege Escalation||ATT&CK Enterprise - T1190 - Exploit Public-Facing Application||ATT&CK Enterprise - T1211 - Exploitation for Defense Evasion","Information Disclosure||Tampering"
"User","Information Disclosure","Created by Rules Engine","Attackers intercept or eavesdrop on sensitive information during transmission","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","High","High","0%","Not tested","Not tested","High","Daniele Granata","ATT&CK Enterprise - T1040 - Network Sniffing||ATT&CK Enterprise - T1557 - Adversary-in-the-Middle","Information Disclosure||Tampering"
"User","Denial of Service","Created by Rules Engine","Attackers use enumeration to discover valid user identifiers, potentially creating a Denial of Service (DoS) condition","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","High","High","0%","Not tested","Not tested","High","Daniele Granata","ATT&CK Enterprise - T1498 - Network Denial of Service||ATT&CK Enterprise - T1499 - Endpoint Denial of Service||ATT&CK Enterprise - TA0043 - Reconnaissance","Denial of Service||Information Disclosure"
"Smartphone Device","Tampering","Created by Rules Engine","Code tampering and reverse engineering","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Medium","Medium","0%","Not tested","Not tested","Medium","Daniele Granata","ATT&CK Mobile - T1533 - Data from Local System","Tampering"
"Device Key (Provisioning/Encryption Key)","Information Disclosure","Created by Rules Engine","Data interception during transmission","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","High","High","0%","Not tested","Not tested","High","Daniele Granata","ATT&CK Enterprise - T1040 - Network Sniffing","Information Disclosure"
"Sonoff SoftAP Network","Information Disclosure","Created by Rules Engine","Inadequate data encryption (Open/legacy protocols)","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Critical","Critical","0%","Not tested","Not tested","Critical","Daniele Granata","ATT&CK Enterprise - T1040 - Network Sniffing","Information Disclosure"
"Smartphone Device","Information Disclosure","Created by Rules Engine","Insecure data storage","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","High","High","0%","Not tested","Not tested","High","Daniele Granata","ATT&CK Mobile - T1409 - Stored Application Data","Information Disclosure"
"Smartphone Device","Information Disclosure","Created by Rules Engine","Insecure network communication","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","High","High","0%","Not tested","Not tested","High","Daniele Granata","ATT&CK Mobile - T1410 - Network Traffic Capture or Redirection","Information Disclosure"
"Smartphone Device","Tampering","Created by Rules Engine","Insecure WebView implementation","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Critical","Critical","0%","Not tested","Not tested","Critical","Daniele Granata","ATT&CK Mobile - T1540 - Code Injection","Tampering"
"Device Key (Provisioning/Encryption Key)","Repudiation","Created by Rules Engine","Insufficient monitoring and logging","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Medium","Medium","0%","Not tested","Not tested","Medium","Daniele Granata","ATT&CK Enterprise - T1562 - Impair Defenses","Repudiation"
"Device Key (Provisioning/Encryption Key)","Tampering","Created by Rules Engine","Insufficient monitoring and logging","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Critical","Critical","0%","Not tested","Not tested","Critical","Daniele Granata","ATT&CK Enterprise - T1190 - Exploit Public-Facing Application","Tampering"
"User","Repudiation","Created by Rules Engine","Lack of evidences of misuse due to insufficient logging","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Medium","Medium","0%","Not tested","Not tested","Medium","Daniele Granata","ATT&CK Enterprise - T1070 - Indicator Removal||ATT&CK Enterprise - T1562 - Impair Defenses","Repudiation"
"Device Key (Provisioning/Encryption Key)","Information Disclosure","Created by Rules Engine","Misconfigured network components","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Critical","Critical","0%","Not tested","Not tested","Critical","Daniele Granata","ATT&CK Enterprise - T1046 - Network Service Discovery","Information Disclosure"
"Sonoff SoftAP Network","Spoofing","Created by Rules Engine","Physical layer hardware attacks","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Critical","Critical","0%","Not tested","Not tested","Critical","Daniele Granata","ATT&CK Enterprise - T1195.003 - Compromise Hardware Supply Chain","Spoofing"
