"Component","Use case","Source","Threat","Risk Response","Inherent Risk","Current Risk","Countermeasure progress","Weakness tests","Countermeasure tests","Projected Risk","Owner","MITRE reference","STRIDE-LM"
"Router","Elevation of Privilege","Created by Rules Engine","Accessing functionality not properly constrained by ACLs","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Critical","Critical","0%","Not tested","Not tested","Critical","Daniele Granata","ATT&CK Enterprise - T1190 - Exploit Public-Facing Application","Elevation of Privilege"
"WiFi MQTT Relay","Tampering","Created by Rules Engine","An attacker can change the firmware update link over MQTT in such way that the victim devices install malicious firmware","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","High","High","0%","Not tested","Not tested","High","Daniele Granata","ATT&CK Enterprise - T1592.003 - Firmware","Tampering"
"Mosquitto (MQTT Broker)","Tampering","Created by Rules Engine","An attacker can change the firmware update link over MQTT in such way that the victim devices install malicious firmware","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","High","High","0%","Not tested","Not tested","High","Daniele Granata","ATT&CK Enterprise - T1592.003 - Firmware","Tampering"
"WiFi MQTT Relay","Denial of Service","Created by Rules Engine","An attacker can overload MQTT clients due to too high message frequency on subscribed topics","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","High","High","0%","Not tested","Not tested","High","Daniele Granata","ATT&CK Enterprise - T1499 - Endpoint Denial of Service","Denial of Service"
"Mosquitto (MQTT Broker)","Denial of Service","Created by Rules Engine","An attacker can overload MQTT clients due to too high message frequency on subscribed topics","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","High","High","0%","Not tested","Not tested","High","Daniele Granata","ATT&CK Enterprise - T1499 - Endpoint Denial of Service","Denial of Service"
"Bridge RF→MQTT","Denial of Service","Created by Rules Engine","An attacker can publish data to the MQTT broker to publish spam data","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Critical","Critical","0%","Not tested","Not tested","Critical","Daniele Granata","ATT&CK Enterprise - T1499 - Endpoint Denial of Service","Denial of Service"
"WiFi MQTT Relay","Spoofing","Created by Rules Engine","An attacker can simulate a fake application to send commands to the MQTT client","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Critical","Critical","0%","Not tested","Not tested","Critical","Daniele Granata","ATT&CK Enterprise - T1200 - Hardware Additions","Spoofing"
"Mosquitto (MQTT Broker)","Spoofing","Created by Rules Engine","An attacker can simulate a fake application to send commands to the MQTT client","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Critical","Critical","0%","Not tested","Not tested","Critical","Daniele Granata","ATT&CK Enterprise - T1200 - Hardware Additions","Spoofing"
"Bridge RF→MQTT","Information Disclosure","Created by Rules Engine","An attacker can start to subscribe to all topics on an unprotected MQTT broker to gather sensitive data","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Critical","Critical","0%","Not tested","Not tested","Critical","Daniele Granata","ATT&CK Enterprise - T1020 - Automated Exfiltration","Information Disclosure"
"Bridge RF→MQTT","Information Disclosure","Created by Rules Engine","An attacker monitors information transmitted between logical or physical nodes of a network","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Critical","Critical","0%","Not tested","Not tested","Critical","Daniele Granata","ATT&CK Enterprise - T1040 - Network Sniffing","Information Disclosure"
