"Component","Use case","Source","Threat","Risk Response","Inherent Risk","Current Risk","Countermeasure progress","Weakness tests","Countermeasure tests","Projected Risk","Owner","MITRE reference","STRIDE-LM"
"Ratings Service","Elevation of Privilege","Created by Rules Engine","An attacker can exploit misconfigured permissions in the Key-Value Store","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Critical","Critical","0%","Not tested","Not tested","Critical","Daniele Granata","ATT&CK Enterprise - T1078 - Valid Accounts||ATT&CK Enterprise - T1098 - Account Manipulation||ATT&CK Enterprise - T1087 - Account Discovery","Elevation of Privilege"
"Ratings Service","Elevation of Privilege","Created by Rules Engine","An attacker can exploit missing authentication in the Key-Value Store","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Critical","Critical","0%","Not tested","Not tested","Critical","Daniele Granata","ATT&CK Enterprise - T1078 - Valid Accounts","Elevation of Privilege"
"Ratings Service","Information Disclosure","Created by Rules Engine","An attacker can perform data exfiltration through insecure data transit in the Key-Value Store","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Critical","Critical","0%","Not tested","Not tested","Critical","Daniele Granata","ATT&CK Enterprise - T1041 - Exfiltration Over C2 Channel||ATT&CK Enterprise - TA0010 - Exfiltration||ATT&CK Enterprise - T1048 - Exfiltration Over Alternative Protocol||ATT&CK Enterprise - T1567 - Exfiltration Over Web Service||ATT&CK Enterprise - T1020 - Automated Exfiltration","Information Disclosure"
"Productpage","Information Disclosure","Created by Rules Engine","Compromise of sensitive data due to insecure certificate properties and key management","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Critical","Critical","0%","Not tested","Not tested","Critical","Daniele Granata","ATT&CK Enterprise - T1552 - Unsecured Credentials","Information Disclosure"
"Productpage","Information Disclosure","Created by Rules Engine","Embedded credentials exposure in code and configuration files","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","High","High","0%","Not tested","Not tested","High","Daniele Granata","ATT&CK Enterprise - T1552 - Unsecured Credentials","Information Disclosure"
"Reviews Service","Information Disclosure","Created by Rules Engine","Exposure of sensitive data through code reviews","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","High","High","0%","Not tested","Not tested","High","Daniele Granata","ATT&CK Enterprise - T1552.001 - Credentials In Files||ATLAS - AML.T0055 - Unsecured Credentials","Information Disclosure"
"Reviews Service","Elevation of Privilege","Created by Rules Engine","Inadequate access controls for CodeGuru reviewer and profiler","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","High","High","0%","Not tested","Not tested","High","Daniele Granata","ATT&CK Enterprise - T1578.005 - Modify Cloud Compute Configurations||ATLAS - AML.T0012 - Valid Accounts","Elevation of Privilege"
"Details Service","Information Disclosure","Created by Rules Engine","Insecure API integrations with third-party field service tools","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","High","High","0%","Not tested","Not tested","High","Daniele Granata","ATT&CK Enterprise - T1555 - Credentials from Password Stores","Information Disclosure"
"Details Service","Information Disclosure","Created by Rules Engine","Insecure data transmission between FSM cloud and mobile devices","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Critical","Critical","0%","Not tested","Not tested","Critical","Daniele Granata","ATT&CK Enterprise - T1040 - Network Sniffing","Information Disclosure"
"Reviews Service","Information Disclosure","Created by Rules Engine","Insecure handling of code artifacts","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","High","High","0%","Not tested","Not tested","High","Daniele Granata","ATT&CK Enterprise - T1567 - Exfiltration Over Web Service||ATLAS - AML.T0036 - Data from Information Repositories","Information Disclosure"
"Details Service","Information Disclosure","Created by Rules Engine","Lack of monitoring for FSM activities and API usage","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Medium","Medium","0%","Not tested","Not tested","Medium","Daniele Granata","ATT&CK Enterprise - T1526 - Cloud Service Discovery","Information Disclosure"
"Productpage","Information Disclosure","Created by Rules Engine","Unauthorized access to Azure resources via network interception","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","High","High","0%","Not tested","Not tested","High","Daniele Granata","ATT&CK Enterprise - T1040 - Network Sniffing","Information Disclosure"
"Details Service","Information Disclosure","Created by Rules Engine","Unauthorized access to FSM applications and mobile services","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","High","High","0%","Not tested","Not tested","High","Daniele Granata","ATT&CK Enterprise - T1110 - Brute Force","Information Disclosure"
"Details Service","Information Disclosure","Created by Rules Engine","Unauthorized access to FSM customer data","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","High","High","0%","Not tested","Not tested","High","Daniele Granata","ATT&CK Enterprise - T1078 - Valid Accounts","Information Disclosure"
"Productpage","Repudiation","Created by Rules Engine","Undetected unauthorized activities due to lack of resource logs","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","High","High","0%","Not tested","Not tested","High","Daniele Granata","ATT&CK Enterprise - T1562.008 - Disable or Modify Cloud Logs","Repudiation"
"Details Service","Tampering","Created by Rules Engine","Unpatched vulnerabilities in FSM cloud and mobile applications","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Critical","Critical","0%","Not tested","Not tested","Critical","Daniele Granata","ATT&CK Enterprise - T1068 - Exploitation for Privilege Escalation","Tampering"
"Details Service","Repudiation","Created by Rules Engine","Weak incident response for FSM security breaches","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","High","High","0%","Not tested","Not tested","High","Daniele Granata","ATT&CK Enterprise - T1564.002 - Hidden Users","Repudiation"
