"Component","Use case","Source","Threat","Risk Response","Inherent Risk","Current Risk","Countermeasure progress","Weakness tests","Countermeasure tests","Projected Risk","Owner","MITRE reference","STRIDE-LM"
"PC","Tampering","Created by Rules Engine","Attackers execute unauthorized physical tampering","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Critical","Critical","0%","Not tested","Not tested","Critical","Daniele Granata","ATT&CK Enterprise - T1200 - Hardware Additions||EMB3D - TID-107 - Unauthorized Direct Memory Access (DMA)","Tampering"
"LAN Network","Tampering","Created by Rules Engine","Attackers execute unauthorized physical tampering","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Critical","Critical","0%","Not tested","Not tested","Critical","Daniele Granata","ATT&CK Enterprise - T1200 - Hardware Additions||EMB3D - TID-107 - Unauthorized Direct Memory Access (DMA)","Tampering"
"JetRacer Mini-Vehicle","Spoofing","Created by Rules Engine","Attackers hijack drone control signals","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Critical","Critical","0%","Not tested","Not tested","Critical","Daniele Granata","EMB3D - TID-105 - Hardware Fault Injection – Control Flow Modification","Spoofing"
"PC","Tampering","Created by Rules Engine","Attackers inject malicious devices","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","High","High","0%","Not tested","Not tested","High","Daniele Granata","ATT&CK Enterprise - T1200 - Hardware Additions||EMB3D - TID-211 - Device Allows Unauthenticated Firmware Installation","Tampering"
"LAN Network","Tampering","Created by Rules Engine","Attackers inject malicious devices","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","High","High","0%","Not tested","Not tested","High","Daniele Granata","ATT&CK Enterprise - T1200 - Hardware Additions||EMB3D - TID-211 - Device Allows Unauthenticated Firmware Installation","Tampering"
"PC","Information Disclosure","Created by Rules Engine","Attackers intercept data communications","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","High","High","0%","Not tested","Not tested","High","Daniele Granata","EMB3D - TID-114 - Peripheral Data Bus Interception","Information Disclosure"
"LAN Network","Information Disclosure","Created by Rules Engine","Attackers intercept data communications","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","High","High","0%","Not tested","Not tested","High","Daniele Granata","EMB3D - TID-114 - Peripheral Data Bus Interception","Information Disclosure"
"JetRacer Mini-Vehicle","Information Disclosure","Created by Rules Engine","Attackers intercept video and data transmissions","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Critical","Critical","0%","Not tested","Not tested","Critical","Daniele Granata","EMB3D - TID-406 - Unauthorized Messages or Connections","Information Disclosure"
"PC","Spoofing","Created by Rules Engine","Attackers perform MAC spoofing attacks","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Critical","Critical","0%","Not tested","Not tested","Critical","Daniele Granata","EMB3D - TID-406 - Unauthorized Messages or Connections","Spoofing"
"LAN Network","Spoofing","Created by Rules Engine","Attackers perform MAC spoofing attacks","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Critical","Critical","0%","Not tested","Not tested","Critical","Daniele Granata","EMB3D - TID-406 - Unauthorized Messages or Connections","Spoofing"
"JetRacer Mini-Vehicle","Tampering","Created by Rules Engine","Attackers perform unauthorized physical tampering","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Critical","Critical","0%","Not tested","Not tested","Critical","Daniele Granata","EMB3D - TID-107 - Unauthorized Direct Memory Access (DMA)","Tampering"
"Jetson Nano","Information Disclosure","Created by Rules Engine","Data breaches from insecure storage","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Critical","Critical","0%","Not tested","Not tested","Critical","Daniele Granata","ATT&CK Enterprise - T1584 - Compromise Infrastructure","Information Disclosure"
"Web Service","Denial of Service","Created by Rules Engine","Data loss due to lack of regular automated backups","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Critical","Critical","0%","Not tested","Not tested","Critical","Daniele Granata","ATT&CK Enterprise - T1490 - Inhibit System Recovery","Denial of Service"
"Speed Sensor","Information Disclosure","Created by Rules Engine","Data transmission interception","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","High","High","0%","Not tested","Not tested","High","Daniele Granata","EMB3D - TID-114 - Peripheral Data Bus Interception","Information Disclosure"
"Microcontroller","Denial of Service","Created by Rules Engine","Denial of service","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","High","High","0%","Not tested","Not tested","High","Daniele Granata","EMB3D - TID-405 - Network Stack Resource Exhaustion","Denial of Service"
"Speed Sensor","Denial of Service","Created by Rules Engine","Environmental interference and EMI","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Critical","Critical","0%","Not tested","Not tested","Critical","Daniele Granata","EMB3D - TID-105 - Hardware Fault Injection – Control Flow Modification","Denial of Service"
"Jetson Nano","Tampering","Created by Rules Engine","Exploitation of vulnerable containerized deployments","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","High","High","0%","Not tested","Not tested","High","Daniele Granata","ATT&CK Enterprise - T1609 - Container Administration Command","Tampering"
"Web Service","Elevation of Privilege","Created by Rules Engine","Increased vulnerability to malware due to outdated or ineffective anti-malware solutions","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Critical","Critical","0%","Not tested","Not tested","Critical","Daniele Granata","ATT&CK Enterprise - T1073 - DLL Side-Loading","Elevation of Privilege"
"Web Service","Information Disclosure","Created by Rules Engine","Insecure cryptography and key management practices","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Critical","Critical","0%","Not tested","Not tested","Critical","Daniele Granata","ATT&CK Enterprise - T1552 - Unsecured Credentials","Information Disclosure"
"Microcontroller","Information Disclosure","Created by Rules Engine","Insecure management interface","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Critical","Critical","0%","Not tested","Not tested","Critical","Daniele Granata","EMB3D - TID-115 - Firmware/Data Extraction via Hardware Interface","Information Disclosure"
"Microcontroller","Tampering","Created by Rules Engine","Insider misconfiguration","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Medium","Medium","0%","Not tested","Not tested","Medium","Daniele Granata","EMB3D - TID-411 - Weak/Insecure Cryptographic Protocol","Tampering"
"Microcontroller","Elevation of Privilege","Created by Rules Engine","Outdated software images","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Medium","Medium","0%","Not tested","Not tested","Medium","Daniele Granata","EMB3D - TID-224 - Excessive Access via Software Diagnostic Features","Elevation of Privilege"
"Microcontroller","Information Disclosure","Created by Rules Engine","Side-channel extraction","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","High","High","0%","Not tested","Not tested","High","Daniele Granata","EMB3D - TID-102 - Electromagnetic Analysis Side Channel","Information Disclosure"
"Speed Sensor","Tampering","Created by Rules Engine","Signal injection and manipulation","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Critical","Critical","0%","Not tested","Not tested","Critical","Daniele Granata","EMB3D - TID-325 - HTTP Injection/Response Splitting","Tampering"
"Microcontroller","Tampering","Created by Rules Engine","Unauthorized access","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","High","High","0%","Not tested","Not tested","High","Daniele Granata","EMB3D - TID-406 - Unauthorized Messages or Connections","Tampering"
"Web Service","Information Disclosure","Created by Rules Engine","Unauthorized access and data breaches due to exposed secrets and credentials","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Critical","Critical","0%","Not tested","Not tested","Critical","Daniele Granata","ATT&CK Enterprise - T1552 - Unsecured Credentials","Information Disclosure"
"Web Service","Elevation of Privilege","Created by Rules Engine","Unauthorized access through misconfigured Azure RBAC role assignments","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Critical","Critical","0%","Not tested","Not tested","Critical","Daniele Granata","ATT&CK Enterprise - T1087 - Account Discovery","Elevation of Privilege"
"Jetson Nano","Tampering","Created by Rules Engine","Unauthorized Access to Deployed AI/ML Models","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","High","High","0%","Not tested","Not tested","High","Daniele Granata","ATT&CK Enterprise - T1583 - Acquire Infrastructure","Tampering"
"Web Service","Tampering","Created by Rules Engine","Unauthorized access to management ports from untrusted networks","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Critical","Critical","0%","Not tested","Not tested","Critical","Daniele Granata","ATT&CK Enterprise - T1021 - Remote Services","Tampering"
"Web Service","Elevation of Privilege","Created by Rules Engine","Unauthorized application execution on virtual machines detection and enforcement","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Critical","Critical","0%","Not tested","Not tested","Critical","Daniele Granata","ATT&CK Enterprise - T1569.002 - Service Execution","Elevation of Privilege"
"Jetson Nano","Information Disclosure","Created by Rules Engine","Unauthorized network access","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Critical","Critical","0%","Not tested","Not tested","Critical","Daniele Granata","ATT&CK Enterprise - T1135 - Network Share Discovery","Information Disclosure"
"Speed Sensor","Tampering","Created by Rules Engine","Unauthorized physical tampering","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Critical","Critical","0%","Not tested","Not tested","Critical","Daniele Granata","EMB3D - TID-106 - Data Bus Interception","Tampering"
"Microcontroller","Information Disclosure","Created by Rules Engine","Unencrypted midhaul transport","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","High","High","0%","Not tested","Not tested","High","Daniele Granata","EMB3D - TID-408 - Unencrypted Sensitive Data Communication","Information Disclosure"
"Web Service","Elevation of Privilege","Created by Rules Engine","Unpatched OS and software vulnerabilities on Azure resources","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","High","High","0%","Not tested","Not tested","High","Daniele Granata","ATT&CK Enterprise - T1068 - Exploitation for Privilege Escalation","Elevation of Privilege"
