"Component","Use case","Source","Threat","Risk Response","Inherent Risk","Current Risk","Countermeasure progress","Weakness tests","Countermeasure tests","Projected Risk","Owner","MITRE reference","STRIDE-LM"
"LAN","Tampering","Created by Rules Engine","Attackers execute unauthorized physical tampering","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Critical","Critical","0%","Not tested","Not tested","Critical","Daniele Granata","ATT&CK Enterprise - T1200 - Hardware Additions||EMB3D - TID-107 - Unauthorized Direct Memory Access (DMA)","Tampering"
"JetRacer","Spoofing","Created by Rules Engine","Attackers hijack drone control signals","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Critical","Critical","0%","Not tested","Not tested","Critical","Daniele Granata","EMB3D - TID-105 - Hardware Fault Injection – Control Flow Modification","Spoofing"
"LAN","Tampering","Created by Rules Engine","Attackers inject malicious devices","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","High","High","0%","Not tested","Not tested","High","Daniele Granata","ATT&CK Enterprise - T1200 - Hardware Additions||EMB3D - TID-211 - Device Allows Unauthenticated Firmware Installation","Tampering"
"LAN","Information Disclosure","Created by Rules Engine","Attackers intercept data communications","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","High","High","0%","Not tested","Not tested","High","Daniele Granata","EMB3D - TID-114 - Peripheral Data Bus Interception","Information Disclosure"
"JetRacer","Information Disclosure","Created by Rules Engine","Attackers intercept video and data transmissions","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Critical","Critical","0%","Not tested","Not tested","Critical","Daniele Granata","EMB3D - TID-406 - Unauthorized Messages or Connections","Information Disclosure"
"LAN","Spoofing","Created by Rules Engine","Attackers perform MAC spoofing attacks","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Critical","Critical","0%","Not tested","Not tested","Critical","Daniele Granata","EMB3D - TID-406 - Unauthorized Messages or Connections","Spoofing"
"JetRacer","Tampering","Created by Rules Engine","Attackers perform unauthorized physical tampering","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Critical","Critical","0%","Not tested","Not tested","Critical","Daniele Granata","EMB3D - TID-107 - Unauthorized Direct Memory Access (DMA)","Tampering"
"PC","Tampering","Created by Rules Engine","Compromised AI/ML model integrity","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Critical","Critical","0%","Not tested","Not tested","Critical","Daniele Granata",,"Tampering"
"PC","Information Disclosure","Created by Rules Engine","Data leakage from telemetry repositories","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","High","High","0%","Not tested","Not tested","High","Daniele Granata","EMB3D - TID-114 - Peripheral Data Bus Interception","Information Disclosure"
"Speed Sensor","Information Disclosure","Created by Rules Engine","Data transmission interception","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","High","High","0%","Not tested","Not tested","High","Daniele Granata","EMB3D - TID-114 - Peripheral Data Bus Interception","Information Disclosure"
"PC","Denial of Service","Created by Rules Engine","Denial of service via malformed A1 requests","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","High","High","0%","Not tested","Not tested","High","Daniele Granata","EMB3D - TID-405 - Network Stack Resource Exhaustion","Denial of Service"
"Speed Sensor","Denial of Service","Created by Rules Engine","Environmental interference and EMI","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Critical","Critical","0%","Not tested","Not tested","Critical","Daniele Granata","EMB3D - TID-105 - Hardware Fault Injection – Control Flow Modification","Denial of Service"
"PC","Information Disclosure","Created by Rules Engine","Insecure secrets management","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Critical","Critical","0%","Not tested","Not tested","Critical","Daniele Granata","EMB3D - TID-212 - FW/SW Update Integrity Shared Secrets Extraction","Information Disclosure"
"PC","Information Disclosure","Created by Rules Engine","Insufficient logging and monitoring","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Medium","Medium","0%","Not tested","Not tested","Medium","Daniele Granata","ATT&CK Enterprise - T1562.003 - Impair Command History Logging","Information Disclosure"
"Jetson Nano","Tampering","Created by Rules Engine","Outdated firmware vulnerabilities","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Critical","Critical","0%","Not tested","Not tested","Critical","Daniele Granata","EMB3D - TID-216 - Firmware Update Rollbacks Allowed","Tampering"
"Speed Sensor","Tampering","Created by Rules Engine","Signal injection and manipulation","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Critical","Critical","0%","Not tested","Not tested","Critical","Daniele Granata","EMB3D - TID-325 - HTTP Injection/Response Splitting","Tampering"
"Jetson Nano","Tampering","Created by Rules Engine","Supply chain attacks","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Critical","Critical","0%","Not tested","Not tested","Critical","Daniele Granata","EMB3D - TID-116 - Latent Privileged Access Port","Tampering"
"PC","Information Disclosure","Created by Rules Engine","Supply chain vulnerabilities in container images","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Critical","Critical","0%","Not tested","Not tested","Critical","Daniele Granata","EMB3D - TID-303 - Excessive Trust in Offboard Management/IDE Software","Information Disclosure"
