"Component","Use case","Source","Threat","Risk Response","Inherent Risk","Current Risk","Countermeasure progress","Weakness tests","Countermeasure tests","Projected Risk","Owner","MITRE reference","STRIDE-LM"
"Personal Computer (PC)","Tampering","Created by Rules Engine","An adversary may be able to interpose between the model output and the intended receiver","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Critical","Critical","0%","Not tested","Not tested","Critical","Daniele Granata","ATT&CK Enterprise - T1493 - Transmitted Data Manipulation||ATT&CK Enterprise - T1557 - Adversary-in-the-Middle||ATLAS - AML.T0041 - Physical Environment Access","Information Disclosure||Tampering"
"Chassis-Mounted Microcontroller","Tampering","Created by Rules Engine","An attacker exploits buffer overflow vulnerabilities in the embedded controller","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Critical","Critical","0%","Not tested","Not tested","Critical","Daniele Granata","ATT&CK Enterprise - T1203 - Exploitation for Client Execution","Tampering"
"Chassis-Mounted Microcontroller","Elevation of Privilege","Created by Rules Engine","An attacker injects malicious firmware to gain control over the device","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Critical","Critical","0%","Not tested","Not tested","Critical","Daniele Granata","ATT&CK Enterprise - T1070.003 - Clear Command History","Elevation of Privilege"
"Chassis-Mounted Microcontroller","Tampering","Created by Rules Engine","An attacker intercepts communication and manipulates control signals","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Critical","Critical","0%","Not tested","Not tested","Critical","Daniele Granata","ATT&CK Enterprise - T1040 - Network Sniffing","Tampering"
"JetRacer Vehicle","General","Created by Rules Engine","An unprivileged user is able to gain privileged access to vehicle systems","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Critical","Critical","0%","Not tested","Not tested","Critical","Daniele Granata",,
"Network Interface","Tampering","Created by Rules Engine","Attackers execute unauthorized physical tampering","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Critical","Critical","0%","Not tested","Not tested","Critical","Daniele Granata","ATT&CK Enterprise - T1200 - Hardware Additions||EMB3D - TID-107 - Unauthorized Direct Memory Access (DMA)","Tampering"
"Web Service Interface","Information Disclosure","Created by Rules Engine","Attackers exfiltrate sensitive data via batch requests","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","High","High","0%","Not tested","Not tested","High","Daniele Granata","ATT&CK Enterprise - T1078 - Valid Accounts","Information Disclosure"
"Web Service Interface","Information Disclosure","Created by Rules Engine","Attackers exploit excessive data exposure","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","High","High","0%","Not tested","Not tested","High","Daniele Granata","ATT&CK Enterprise - T1071 - Application Layer Protocol","Information Disclosure"
"Web Service Interface","Information Disclosure","Created by Rules Engine","Attackers exploit insecure error handling","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","High","High","0%","Not tested","Not tested","High","Daniele Granata","ATT&CK Enterprise - T1190 - Exploit Public-Facing Application","Information Disclosure"
"Web Service Interface","Information Disclosure","Created by Rules Engine","Attackers exploit overly permissive CORS configurations","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Critical","Critical","0%","Not tested","Not tested","Critical","Daniele Granata","ATT&CK Enterprise - T1021 - Remote Services","Information Disclosure"
